Real_Estate_Id,Deeded_Acreage,Total_Sale_Price,Total_Sale_Date,Month_Year_of_Sale,Year_of_Sale,Year_Built,Year_Remodeled,Heated_Area,Num_Stories,Design_Style,Bath,Utilities,Physical_City,Physical_Zip
278,0.14,10000,3/7/01,1-Mar,2001,1917,1917,1453,One Story,Conventional,Other,ALL,Raleigh,27601
287,0.43,266000,3/27/17,17-Mar,2017,1970,1970,2134,One Story,Split level,2 Bath,WSE,Apex,27502
291,0.04,80000,7/7/20,20-Jul,2020,1930,1930,554,One Story,Conventional,1 Bath,ALL,Raleigh,27601
292,0.07,19500,6/17/13,13-Jun,2013,1925,1925,686,One Story,Conventional,1 Bath,ALL,Raleigh,27610
293,0.1,20900,4/29/13,13-Apr,2013,1910,1910,608,One Story,Conventional,1 Bath,ALL,Raleigh,27601
297,0.07,26500,4/29/13,13-Apr,2013,1910,1910,736,Other,Conventional,1 Bath,ALL,Raleigh,27601
306,0.14,276000,1/3/18,18-Jan,2018,1920,2015,920,One Story,Conventional,2 Bath,ALL,Raleigh,27601
308,0.07,21500,6/17/13,13-Jun,2013,1905,1905,716,One Story,Conventional,1 Bath,ALL,Raleigh,27601
312,0.33,325000,6/29/92,Jun-92,1992,1990,1990,3403,Other,Conventional,3½ Bath,ALL,Raleigh,27608
314,0.17,151000,7/23/19,19-Jul,2019,2018,2018,1308,One Story,Conventional,2 Bath,WSE,Zebulon,27597
321,0.56,4000,2/20/86,Feb-86,1986,1985,1985,1136,One Story,Conventional,2 Bath,E,Raleigh,27604
324,2.84,535000,2/29/12,12-Feb,2012,1963,1963,5592,One Story,Conventional,Other,ALL,Raleigh,27612
325,0.33,252000,1/31/11,11-Jan,2011,1967,1967,1983,One Story,Split level,2½ Bath,ALL,Raleigh,27609
326,0.27,265000,12/7/18,18-Dec,2018,1959,1959,1701,One Story,Conventional,1 Bath,ALL,Cary,27513
329,0.92,385000,2/18/16,16-Feb,2016,1963,2015,2520,One Story,Conventional,3½ Bath,ALL,Raleigh,27612
330,0.47,85000,11/5/14,14-Nov,2014,1956,2012,1168,One Story,Conventional,1 Bath,ALL,Holly Springs,27540
331,0.19,140000,4/27/18,18-Apr,2018,1950,1950,954,One Story,Conventional,1 Bath,ALL,Raleigh,27610
333,0.16,107000,9/19/03,3-Sep,2003,1952,1952,774,One Story,Conventional,1 Bath,ALL,Raleigh,27608
334,0.72,98500,10/15/18,18-Oct,2018,1959,1959,1642,One Story,Conventional,1 Bath,E,Raleigh,27603
338,0.48,103000,3/31/10,10-Mar,2010,1955,1955,1555,One Story,Conventional,2 Bath,ALL,Garner,27529
340,0.64,0,10/4/85,Oct-85,1985,1985,1985,1836,Other,Conventional,2½ Bath,E,Raleigh,27603
343,0.8,106000,6/7/95,Jun-95,1995,1959,1959,1416,One Story,Conventional,1 Bath,E,Willow Spring,27592
345,0.22,617800,6/16/11,11-Jun,2011,1917,1917,4076,Other,Conventional,3 Bath,ALL,Raleigh,27605
346,0.28,87500,5/6/98,May-98,1998,1966,1966,1350,One Story,Ranch,2 Bath,WE,Rolesville,27571
351,57.5,76500,5/19/05,5-May,2005,1935,1935,1572,One Story,Conventional,1 Bath,E,Willow Spring,27592
351,57.5,76500,5/19/05,5-May,2005,1940,1940,1560,One Story,Conventional,1 Bath,E,Willow Spring,27592
351,57.5,76500,5/19/05,5-May,2005,1940,1940,1033,One Story,Conventional,1 Bath,E,Willow Spring,27592
351,57.5,76500,5/19/05,5-May,2005,1953,1953,1527,One Story,Conventional,1 Bath,E,Willow Spring,27592
351,57.5,76500,5/19/05,5-May,2005,1934,1934,3544,Two Story,Conventional,Other,E,Willow Spring,27592
357,0.24,146000,6/6/16,16-Jun,2016,1954,1954,1146,One Story,Conventional,1 Bath,WSE,Fuquay Varina,27526
373,0.33,169000,4/17/07,7-Apr,2007,1972,1972,1893,One Story,Conventional,2 Bath,ALL,Raleigh,27604
374,0.54,131000,5/20/93,May-93,1993,1972,1972,2148,One Story,Conventional,2 Bath,ALL,Raleigh,27604
375,0.38,135000,5/15/15,15-May,2015,1972,2019,1514,One Story,Conventional,2 Bath,ALL,Raleigh,27604
376,0.31,145000,8/24/01,1-Aug,2001,1972,1972,1807,One Story,Split level,2½ Bath,ALL,Raleigh,27604
377,0.31,103000,11/9/94,Nov-94,1994,1972,1972,2136,One Story,Split level,2½ Bath,ALL,Raleigh,27604
378,0.23,33000,1/1/73,Jan-73,1973,1972,1972,1294,One Story,Conventional,2 Bath,ALL,Raleigh,27604
379,0.26,213000,8/12/19,19-Aug,2019,1972,1972,1416,One Story,Conventional,2 Bath,ALL,Raleigh,27604
382,0.2,152500,12/29/16,16-Dec,2016,1965,2016,1349,One Story,Ranch,2 Bath,ALL,Raleigh,27610
383,0.52,180000,8/21/07,7-Aug,2007,1960,1960,1378,One Story,Conventional,2 Bath,ALL,Raleigh,27606
387,0.7,32000,6/20/91,Jun-91,1991,1975,1975,640,One Story,Conventional,1 Bath,WSE,Fuquay Varina,27526
390,0.58,150000,8/17/01,1-Aug,2001,1960,1960,3518,One Story,Conventional,3½ Bath,ALL,Raleigh,27606
396,1.75,21500,7/10/86,Jul-86,1986,1988,1988,2919,One Story,Conventional,2½ Bath,E,Raleigh,27610
397,0.36,110000,5/13/10,10-May,2010,1970,1970,1050,One Story,Conventional,2 Bath,WE,Raleigh,27616
398,0.54,70000,10/3/84,Oct-84,1984,1967,1967,1676,One Story,Conventional,2 Bath,ALL,Raleigh,27603
399,0.4,488000,8/31/16,16-Aug,2016,1964,2018,2656,Other,Conventional,2½ Bath,ALL,Raleigh,27612
400,0.36,292500,2/20/04,4-Feb,2004,1966,2017,3988,Other,Conventional,3½ Bath,ALL,Raleigh,27609
401,27.86,107500,7/1/81,Jul-81,1981,1972,1972,4979,One Story,Contemporary,Other,E,Raleigh,27614
402,0.3,591000,2/1/10,10-Feb,2010,2009,2009,3851,Other,Conventional,3½ Bath,ALL,Raleigh,27609
410,4.85,273000,5/19/17,17-May,2017,1971,1971,2207,One Story,Conventional,2½ Bath,E,Willow Spring,27592
413,0.51,440000,11/30/20,20-Nov,2020,1971,2010,2055,One Story,Conventional,2½ Bath,ALL,Raleigh,27607
414,0.48,160000,9/28/18,18-Sep,2018,1953,1953,1066,One Story,Conventional,1 Bath,ALL,Garner,27529
415,0.28,177000,1/17/20,20-Jan,2020,1964,1964,1014,One Story,Conventional,1 Bath,ALL,Garner,27529
418,0.32,66000,2/18/88,Feb-88,1988,1959,1959,1507,One Story,Conventional,2 Bath,ALL,Raleigh,27610
419,0.13,112000,3/22/06,6-Mar,2006,1950,1950,768,One Story,Conventional,1 Bath,ALL,Raleigh,27604
421,0.27,200000,8/28/06,6-Aug,2006,1973,1973,1782,One Story,Split level,2 Bath,ALL,Raleigh,27609
422,0.27,141000,5/30/02,2-May,2002,1962,1962,1266,One Story,Conventional,2 Bath,ALL,Raleigh,27609
423,82.24,3099000,11/9/07,7-Nov,2007,1910,1910,1679,One Story,Conventional,1 Bath,E,Apex,27539
426,1.68,260000,1/8/13,13-Jan,2013,1969,1969,2997,One Story,Conventional,2 Bath,E,Raleigh,27603
432,0.45,62600,8/27/18,18-Aug,2018,1965,1965,3099,One Story,Conventional,2½ Bath,E,Raleigh,27603
436,0.32,380000,12/9/20,20-Dec,2020,1969,1969,2800,One Story,Split level,3 Bath,ALL,Raleigh,27606
445,0.22,770000,4/28/17,17-Apr,2017,1928,1928,4074,Other,Conventional,3½ Bath,ALL,Raleigh,27608
448,0.18,178000,11/27/01,1-Nov,2001,1947,1947,1280,One Story,Conventional,1 Bath,ALL,Raleigh,27607
449,0.04,151500,12/31/02,2-Dec,2002,1969,1969,2185,Other,Townhouse,Other,ALL,Raleigh,27607
450,0.51,46500,5/7/84,May-84,1984,1966,1966,1080,One Story,Conventional,1 Bath,E,Garner,27529
451,1,135000,12/12/02,2-Dec,2002,1966,1966,1884,One Story,Conventional,2 Bath,E,Wendell,27591
453,0.5,208100,10/25/18,18-Oct,2018,1973,1973,1281,One Story,Conventional,1 Bath,E,Wendell,27591
454,0.56,100000,3/10/97,Mar-97,1997,1961,1961,1637,One Story,Ranch,1 ½ Bath,E,Knightdale,27545
460,0.12,460000,10/25/18,18-Oct,2018,2018,2018,1792,Other,Conventional,2½ Bath,ALL,Raleigh,27601
466,0.17,355000,4/10/15,15-Apr,2015,1998,1998,1740,Other,Conventional,2½ Bath,ALL,Raleigh,27604
468,0.4,187000,9/8/98,Sep-98,1998,1931,1931,2936,Other,Conventional,2 Bath,ALL,Wake Forest,27587
469,0.06,17500,2/11/05,5-Feb,2005,1920,2008,1145,One Story,Conventional,1 Bath,ALL,Raleigh,27601
470,0.11,380000,4/29/21,21-Apr,2021,2002,2002,1280,Other,Conventional,2½ Bath,ALL,Raleigh,27610
471,0.1,75000,4/18/06,6-Apr,2006,1925,1925,908,One Story,Conventional,1 Bath,ALL,Raleigh,27601
472,0.14,368500,1/30/19,19-Jan,2019,1930,1930,1062,One Story,Conventional,1 Bath,ALL,Raleigh,27601
475,82.56,3300000,2/15/21,21-Feb,2021,1969,1969,962,One Story,Conventional,1 Bath,E,Raleigh,27603
475,82.56,3300000,2/15/21,21-Feb,2021,1969,1969,840,One Story,Conventional,1 Bath,E,Raleigh,27603
475,82.56,3300000,2/15/21,21-Feb,2021,1965,1965,988,One Story,Conventional,1 Bath,E,Raleigh,27603
475,82.56,3300000,2/15/21,21-Feb,2021,1940,1940,2256,Two Story,Conventional,2 Bath,E,Raleigh,27603
480,0.1,83000,12/1/14,14-Dec,2014,1960,2014,680,One Story,Conventional,1 Bath,WSE,Holly Springs,27540
481,0.37,44000,2/24/83,Feb-83,1983,1961,1961,1161,One Story,Conventional,1 ½ Bath,WSE,Fuquay Varina,27526
482,0.25,110000,5/17/00,May-00,2000,1960,1960,1216,One Story,Ranch,1 ½ Bath,ALL,Raleigh,27604
483,3.38,193500,6/22/12,12-Jun,2012,2000,2000,1593,One Story,Conventional,2 Bath,E,Raleigh,27610
487,0.42,64500,6/29/90,Jun-90,1990,1971,1971,1066,One Story,Ranch,2 Bath,ALL,Garner,27529
488,0.64,200000,6/2/21,21-Jun,2021,1966,1966,2865,One Story,Conventional,2½ Bath,ALL,Raleigh,27612
489,0.34,123000,3/8/19,19-Mar,2019,1970,1970,976,One Story,Conventional,1 Bath,WE,Raleigh,27610
490,0.36,106000,2/3/06,6-Feb,2006,2005,2005,1232,One Story,Conventional,2 Bath,,Fuquay Varina,27526
491,0.28,84000,5/6/11,11-May,2011,1963,1963,1075,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27610
492,0.34,27000,1/1/76,Jan-76,1976,1960,1960,1035,One Story,Ranch,1 Bath,ALL,Raleigh,27603
496,0.32,157000,5/31/07,7-May,2007,1968,1968,1558,One Story,Conventional,2 Bath,ALL,Cary,27511
497,1,165000,5/22/18,18-May,2018,1938,1938,1504,One Story,Conventional,2 Bath,E,Willow Spring,27592
498,0.55,65500,10/10/95,Oct-95,1995,1956,1956,2864,One Story,Split level,3 Bath,ALL,Raleigh,27609
499,0.24,263500,2/20/20,20-Feb,2020,2019,2019,1941,Other,Conventional,2½ Bath,WSE,Fuquay Varina,27526
501,0.41,100000,3/1/95,Mar-95,1995,1995,1995,1263,One Story,Conventional,2 Bath,ALL,Raleigh,27610
502,0.5,1000,3/1/95,Mar-95,1995,1963,1963,2144,One Story,Conventional,2 Bath,ALL,Raleigh,27610
503,0.23,1500,3/29/21,21-Mar,2021,1968,1968,1196,One Story,Conventional,1 Bath,E,Holly Springs,27540
504,0.28,185000,6/10/21,21-Jun,2021,1970,1970,1092,One Story,Conventional,1 Bath,ALL,Raleigh,27610
505,0.32,111000,11/2/12,12-Nov,2012,1954,1954,1119,One Story,Conventional,1 Bath,WSE,Fuquay Varina,27526
506,0.31,5000,8/31/84,Aug-84,1984,1968,1968,1418,One Story,Conventional,1 Bath,ALL,Raleigh,27610
507,0.38,367000,4/29/19,19-Apr,2019,1968,1968,2173,Other,Conventional,2½ Bath,ALL,Raleigh,27612
508,0.44,430000,9/27/17,17-Sep,2017,1967,1967,2721,One Story,Split level,2½ Bath,ALL,Raleigh,27609
509,0.54,70000,4/30/84,Apr-84,1984,1958,1958,1446,One Story,Conventional,2½ Bath,ALL,Raleigh,27607
519,0.47,41000,7/12/85,Jul-85,1985,1985,1985,1157,One Story,Conventional,2 Bath,GE,Raleigh,27604
525,1.25,95000,9/30/15,15-Sep,2015,1959,1959,768,One Story,Conventional,1 Bath,E,Willow Spring,27592
525,1.25,95000,9/30/15,15-Sep,2015,1950,1950,1053,One Story,Conventional,1 Bath,E,Willow Spring,27592
525,1.25,95000,9/30/15,15-Sep,2015,1954,1954,765,One Story,Conventional,1 Bath,E,Willow Spring,27592
528,1.43,127000,10/18/94,Oct-94,1994,1994,1994,1824,Other,Conventional,2½ Bath,E,Willow Spring,27592
535,0.78,812500,6/1/16,16-Jun,2016,1961,1961,4131,One Story,Conventional,3½ Bath,ALL,Raleigh,27607
536,0.1,105000,3/19/07,7-Mar,2007,2005,2005,1025,One Story,Conventional,2 Bath,ALL,Raleigh,27601
545,0.43,92500,12/15/89,Dec-89,1989,1969,1969,1806,One Story,Split level,2½ Bath,WSE,Fuquay Varina,27526
546,0.41,640000,8/27/12,12-Aug,2012,1967,1967,3760,Other,Conventional,3½ Bath,ALL,Raleigh,27612
548,0.16,220000,11/14/11,11-Nov,2011,1946,1946,1012,One Story,Conventional,1 Bath,ALL,Raleigh,27604
549,0.39,400000,11/4/14,14-Nov,2014,2016,2016,5442,Other,Conventional,3½ Bath,ALL,Raleigh,27607
551,0.4,230000,5/1/06,6-May,2006,1954,1954,1359,One Story,Conventional,2 Bath,ALL,Raleigh,27607
552,0.39,500,6/7/96,Jun-96,1996,1940,1940,1862,One Story,Ranch,1 Bath,WSE,Knightdale,27545
554,0.68,224900,3/18/20,20-Mar,2020,1960,1960,1170,One Story,Conventional,1 ½ Bath,E,Raleigh,27603
561,1.37,4000,5/23/05,5-May,2005,1971,1971,4329,One Story,Conventional,3 Bath,E,Willow Spring,27592
564,0.37,140000,8/29/91,Aug-91,1991,1967,1967,2460,One Story,Ranch,2 Bath,ALL,Raleigh,27612
566,0.5,86000,11/21/01,1-Nov,2001,1960,1960,1316,One Story,Conventional,1 ½ Bath,E,Fuquay Varina,27526
570,0.79,67000,8/8/95,Aug-95,1995,1963,1963,1536,One Story,Ranch,1 ½ Bath,E,Raleigh,27603
571,0.17,280000,12/28/16,16-Dec,2016,1952,1952,819,One Story,Conventional,1 Bath,ALL,Raleigh,27604
581,0.81,160000,6/6/17,17-Jun,2017,1980,1980,1014,One Story,Conventional,2 Bath,E,Holly Springs,27540
585,0.48,76500,9/17/85,Sep-85,1985,1964,1964,1498,One Story,Conventional,2 Bath,ALL,Raleigh,27604
586,0.61,600000,10/6/17,17-Oct,2017,1956,2017,2196,One Story,Conventional,2 Bath,ALL,Raleigh,27607
588,0.29,96000,12/7/12,12-Dec,2012,1960,1960,1249,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27609
592,2.09,105000,10/21/04,4-Oct,2004,1961,1961,4096,One Story,Ranch,2 Bath,WSE,Fuquay Varina,27526
596,0.18,195000,6/6/17,17-Jun,2017,1952,1952,750,One Story,Conventional,1 Bath,ALL,Cary,27511
597,0.32,255000,5/30/17,17-May,2017,1961,1961,1164,One Story,Conventional,2 Bath,ALL,Cary,27513
614,0.22,50000,10/4/94,Oct-94,1994,1948,1948,840,One Story,Conventional,1 Bath,WSE,Fuquay Varina,27526
618,0.35,80000,12/12/06,6-Dec,2006,1948,1948,1000,One Story,Conventional,1 Bath,E,Fuquay Varina,27526
621,0.32,95000,8/1/02,2-Aug,2002,1910,1910,1648,One Story,Conventional,1 ½ Bath,WSE,Fuquay Varina,27526
624,0.14,285000,5/3/13,13-May,2013,1945,1945,2501,Other,Conventional,2 Bath,ALL,Raleigh,27607
628,0.28,232000,9/30/11,11-Sep,2011,2002,2002,2274,Two Story,Conventional,2½ Bath,ALL,Cary,27513
633,0.19,91000,10/28/03,3-Oct,2003,1954,1954,1283,One Story,Ranch,1 Bath,WSE,Fuquay Varina,27526
635,0.23,95000,9/28/98,Sep-98,1998,1962,2017,1673,One Story,Split level,1 ½ Bath,ALL,Raleigh,27610
636,0.3,78000,6/30/97,Jun-97,1997,1968,1968,2223,One Story,Conventional,2 Bath,ALL,Raleigh,27607
637,0.25,143000,8/20/14,14-Aug,2014,1966,1966,1752,One Story,Split level,2 Bath,ALL,Raleigh,27604
639,0.21,165000,2/9/18,18-Feb,2018,1977,1977,1104,One Story,Conventional,2 Bath,WSE,Fuquay Varina,27526
640,0.39,192000,2/1/17,17-Feb,2017,1960,1960,1871,One Story,Conventional,2 Bath,WSE,Fuquay Varina,27526
646,0.3,59000,9/1/15,15-Sep,2015,1956,1956,1317,One Story,Conventional,2 Bath,WSE,Fuquay Varina,27526
649,0.13,165000,5/17/12,12-May,2012,1930,1930,1104,One Story,Conventional,1 Bath,ALL,Raleigh,27604
651,0.28,116500,5/15/13,13-May,2013,1962,1962,1050,One Story,Ranch,1 ½ Bath,ALL,Raleigh,27610
652,0.37,470500,6/30/21,21-Jun,2021,1961,1961,2424,One Story,Ranch,2 Bath,ALL,Raleigh,27609
654,2.26,635000,1/30/17,17-Jan,2017,1965,1965,4997,Other,Conventional,Other,E,Raleigh,27604
655,0.33,220000,3/29/00,Mar-00,2000,1957,1957,2752,One Story,Conventional,3 Bath,ALL,Raleigh,27608
656,0.62,305000,1/11/18,18-Jan,2018,1961,1961,1856,One Story,Split level,2½ Bath,ALL,Raleigh,27606
657,0.29,160000,7/29/98,Jul-98,1998,1969,1969,2064,One Story,Split level,2½ Bath,ALL,Raleigh,27615
658,0.62,174500,7/29/98,Jul-98,1998,1968,2005,2913,One Story,Split level,3½ Bath,WGE,Raleigh,27607
659,0.22,647500,11/12/19,19-Nov,2019,1996,1996,2176,Other,Conventional,3 Bath,ALL,Raleigh,27609
661,0.54,4500,1/1/69,Jan-69,1969,1969,1969,1092,One Story,Conventional,2 Bath,ALL,Raleigh,27606
662,0.48,163000,12/30/13,13-Dec,2013,1958,1958,1230,One Story,Ranch,1 ½ Bath,ALL,Cary,27511
663,0.47,310000,6/25/14,14-Jun,2014,1971,1971,1930,One Story,Conventional,2 Bath,ALL,Raleigh,27615
665,0.58,15000,1/1/68,Jan-68,1968,1966,1966,1318,One Story,Conventional,1 Bath,ALL,Raleigh,27603
667,0.21,55000,9/14/05,5-Sep,2005,1950,1950,744,One Story,Conventional,1 Bath,ALL,Raleigh,27603
668,0.25,314000,11/28/05,5-Nov,2005,1943,1943,1685,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27607
669,0.41,35000,1/1/70,Jan-70,1970,1966,1966,2211,One Story,Split level,3 Bath,ALL,Cary,27511
670,6.36,262000,6/7/19,19-Jun,2019,1976,1976,2436,One Story,Conventional,2 Bath,E,Garner,27529
671,0.44,125000,9/3/19,19-Sep,2019,1952,1952,1537,One Story,Conventional,1 ½ Bath,ALL,Garner,27529
672,0.45,98000,7/5/12,12-Jul,2012,1961,1961,1170,One Story,Conventional,1 ½ Bath,E,Raleigh,27610
674,1.1,250000,1/31/12,12-Jan,2012,1961,1961,2957,One Story,Conventional,3 Bath,ALL,Cary,27511
675,0.32,500000,10/17/19,19-Oct,2019,1961,1961,1972,One Story,Split level,3 Bath,ALL,Raleigh,27609
683,0.3,235000,7/29/16,16-Jul,2016,1972,1972,1600,Other,Conventional,2 Bath,ALL,Raleigh,27609
684,0.37,233000,1/15/19,19-Jan,2019,1972,1972,1600,Other,Conventional,2 Bath,ALL,Raleigh,27609
685,0.3,350000,4/12/21,21-Apr,2021,1972,1972,1456,One Story,Conventional,2 Bath,ALL,Raleigh,27609
686,0.27,83500,10/31/89,Oct-89,1989,1973,1973,1575,One Story,Split level,2 Bath,ALL,Raleigh,27609
687,0.35,154000,5/14/04,4-May,2004,1973,1973,1687,One Story,Conventional,2 Bath,ALL,Raleigh,27609
688,0.39,160000,3/29/04,4-Mar,2004,1973,1973,1725,One Story,Conventional,2 Bath,ALL,Raleigh,27609
689,0.44,243000,8/29/16,16-Aug,2016,1973,1973,2250,One Story,Conventional,3 Bath,ALL,Raleigh,27609
690,0.42,356000,6/30/16,16-Jun,2016,1973,1973,2506,One Story,Conventional,3½ Bath,ALL,Raleigh,27609
692,0.31,380000,5/16/19,19-May,2019,1973,2019,2193,One Story,Conventional,2½ Bath,ALL,Raleigh,27609
693,0.33,29000,1/1/72,Jan-72,1972,1972,1972,1575,One Story,Split level,2 Bath,ALL,Raleigh,27609
694,0.4,184500,9/15/14,14-Sep,2014,1972,1972,1575,One Story,Split level,2 Bath,ALL,Raleigh,27609
695,0.48,368500,5/18/21,21-May,2021,1972,1972,1687,One Story,Conventional,2 Bath,ALL,Raleigh,27609
696,0.36,115000,9/11/96,Sep-96,1996,1972,1972,1212,One Story,Conventional,2 Bath,ALL,Raleigh,27609
697,0.39,123000,6/30/98,Jun-98,1998,1972,1972,1456,One Story,Conventional,2 Bath,ALL,Raleigh,27609
698,0.46,29000,1/1/73,Jan-73,1973,1972,1972,1575,One Story,Split level,2 Bath,ALL,Raleigh,27609
699,0.33,170000,12/8/06,6-Dec,2006,1972,1972,1716,One Story,Conventional,2 Bath,ALL,Raleigh,27609
700,0.28,61500,2/22/85,Feb-85,1985,1972,1972,2200,One Story,Conventional,2½ Bath,ALL,Raleigh,27609
701,0.27,32000,1/1/73,Jan-73,1973,1972,1972,2012,One Story,Conventional,2 Bath,ALL,Raleigh,27609
702,0.24,344000,10/30/19,19-Oct,2019,1972,2016,1712,One Story,Conventional,2 Bath,ALL,Raleigh,27609
703,0.21,310000,9/9/20,20-Sep,2020,1973,1973,1600,Other,Conventional,2 Bath,ALL,Raleigh,27609
704,0.25,331000,8/3/20,20-Aug,2020,1974,1974,1575,One Story,Split level,2 Bath,ALL,Raleigh,27609
705,0.29,107000,12/6/91,Dec-91,1991,1973,1973,1926,Other,Conventional,1 ½ Bath,ALL,Raleigh,27609
706,0.39,59500,1/1/80,Jan-80,1980,1973,1973,1668,One Story,Conventional,2 Bath,ALL,Raleigh,27609
707,0.38,238000,3/7/19,19-Mar,2019,1974,1974,1875,One Story,Split level,2½ Bath,ALL,Raleigh,27609
708,0.36,185000,11/30/06,6-Nov,2006,1973,1973,1640,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27609
709,0.35,43000,5/31/83,May-83,1983,1973,1973,1550,Other,Conventional,2 Bath,ALL,Raleigh,27609
710,0.41,30000,1/1/73,Jan-73,1973,1973,1973,1575,One Story,Split level,2 Bath,ALL,Raleigh,27609
711,0.3,22500,1/28/83,Jan-83,1983,1973,1973,1875,One Story,Split level,2½ Bath,ALL,Raleigh,27609
712,0.27,56000,3/5/82,Mar-82,1982,1973,1973,1575,One Story,Split level,2 Bath,ALL,Raleigh,27609
713,0.33,136500,10/29/03,3-Oct,2003,1973,1973,1875,One Story,Split level,2½ Bath,ALL,Raleigh,27609
714,0.28,28500,1/1/73,Jan-73,1973,1973,1973,1650,One Story,Conventional,2 Bath,ALL,Raleigh,27609
715,0.31,296000,1/15/21,21-Jan,2021,1973,1973,1725,One Story,Conventional,2 Bath,ALL,Raleigh,27609
716,0.39,223500,3/1/19,19-Mar,2019,1973,1973,1183,One Story,Conventional,2 Bath,ALL,Raleigh,27609
717,0.26,120000,2/27/96,Feb-96,1996,1973,1973,1625,Other,Conventional,2 Bath,ALL,Raleigh,27609
718,0.23,53500,12/21/87,Dec-87,1987,1973,1973,1215,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27609
719,0.22,305000,7/10/20,20-Jul,2020,1973,1973,1595,One Story,Conventional,2 Bath,ALL,Raleigh,27609
720,0.27,170500,8/19/14,14-Aug,2014,1973,1973,1396,One Story,Conventional,2 Bath,ALL,Raleigh,27609
721,0.23,306500,7/31/20,20-Jul,2020,1973,1973,1839,One Story,Split level,2 Bath,ALL,Raleigh,27609
722,0.26,88000,6/30/94,Jun-94,1994,1973,1973,1830,One Story,Conventional,2 Bath,ALL,Raleigh,27609
723,0.24,120000,1/30/12,12-Jan,2012,1973,1973,1687,One Story,Conventional,2 Bath,ALL,Raleigh,27609
724,0.21,36000,1/1/74,Jan-74,1974,1973,1973,1725,One Story,Conventional,2 Bath,ALL,Raleigh,27609
725,0.31,73000,3/10/86,Mar-86,1986,1973,1973,1912,One Story,Conventional,3 Bath,ALL,Raleigh,27609
726,0.28,28500,1/1/73,Jan-73,1973,1973,1973,1321,One Story,Conventional,2 Bath,ALL,Raleigh,27609
727,0.39,325000,12/4/20,20-Dec,2020,1973,1973,1610,One Story,Conventional,2 Bath,ALL,Raleigh,27609
728,0.51,184500,6/20/05,5-Jun,2005,1973,1973,1889,Other,Conventional,3 Bath,ALL,Raleigh,27609
729,0.31,205000,1/4/18,18-Jan,2018,1973,1973,1575,One Story,Split level,2 Bath,ALL,Raleigh,27609
730,0.33,220000,6/29/15,15-Jun,2015,1973,1973,1600,Other,Conventional,2 Bath,ALL,Raleigh,27609
731,0.3,300000,10/23/19,19-Oct,2019,1973,1973,1420,One Story,Conventional,2 Bath,ALL,Raleigh,27609
732,0.26,21000,1/1/79,Jan-79,1979,1973,1973,1250,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27609
733,0.29,145000,1/4/00,Jan-00,2000,1973,1973,1600,Other,Conventional,2 Bath,ALL,Raleigh,27609
734,0.29,260000,5/22/18,18-May,2018,1973,1973,1606,One Story,Conventional,2 Bath,ALL,Raleigh,27609
735,0.29,155000,8/13/04,4-Aug,2004,1973,1973,1600,Other,Conventional,2 Bath,ALL,Raleigh,27609
736,0.3,33000,1/1/73,Jan-73,1973,1973,1973,2139,One Story,Split level,2½ Bath,ALL,Raleigh,27609
737,0.31,77500,1/31/86,Jan-86,1986,1972,1972,1737,One Story,Conventional,2 Bath,ALL,Raleigh,27609
738,0.29,129000,7/16/99,Jul-99,1999,1972,1972,1620,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27609
739,0.31,74500,12/21/90,Dec-90,1990,1972,1972,1612,One Story,Conventional,2 Bath,ALL,Raleigh,27609
740,0.29,29500,12/3/84,Dec-84,1984,1972,1972,1506,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27609
741,0.21,140000,3/9/01,1-Mar,2001,1972,1972,1575,One Story,Split level,2 Bath,ALL,Raleigh,27609
742,0.32,116500,5/1/98,May-98,1998,1972,1972,1612,One Story,Split level,2 Bath,ALL,Raleigh,27609
743,0.25,201000,9/11/15,15-Sep,2015,1972,1972,1650,One Story,Split level,2 Bath,ALL,Raleigh,27609
744,0.25,132000,4/30/01,1-Apr,2001,1972,1972,1866,Other,Conventional,2 Bath,ALL,Raleigh,27609
745,0.28,129500,2/28/00,Feb-00,2000,1972,1972,1225,One Story,Conventional,2 Bath,ALL,Raleigh,27609
746,0.29,125000,4/15/13,13-Apr,2013,1972,1972,1411,One Story,Conventional,2 Bath,ALL,Raleigh,27609
747,0.27,64000,9/30/83,Sep-83,1983,1972,1972,1725,One Story,Split level,2½ Bath,ALL,Raleigh,27609
748,0.27,97500,8/15/94,Aug-94,1994,1972,1972,1200,One Story,Conventional,2 Bath,ALL,Raleigh,27609
749,0.28,355000,7/29/20,20-Jul,2020,1972,1972,1572,One Story,Conventional,2 Bath,ALL,Raleigh,27609
752,0.27,119000,10/22/96,Oct-96,1996,1972,1972,1620,One Story,Conventional,2 Bath,ALL,Raleigh,27609
753,0.26,122000,12/1/00,Dec-00,2000,1972,1972,1777,One Story,Conventional,2½ Bath,ALL,Raleigh,27609
754,0.27,167500,3/14/03,3-Mar,2003,1972,1972,1712,One Story,Ranch,2 Bath,ALL,Raleigh,27609
