Real_Estate_Id,Deeded_Acreage,Total_Sale_Price,Total_Sale_Date,Month_Year_of_Sale,Year_of_Sale,Year_Built,Year_Remodeled,Heated_Area,Num_Stories,Design_Style,Bath,Utilities,Physical_City,Physical_Zip
1973,0.32,42000,1/1/76,Jan-76,1976,1971,1971,1843,One Story,Split level,1 Bath,ALL,Cary,27511
1974,0.35,90000,6/19/96,Jun-96,1996,1961,1961,1196,One Story,Conventional,2 Bath,ALL,Raleigh,27604
1975,1.76,360000,8/26/15,15-Aug,2015,2017,2017,7330,Other,Conventional,3½ Bath,E,Cary,27518
1976,0.54,630000,7/29/05,5-Jul,2005,1972,1972,3981,Other,Conventional,3½ Bath,ALL,Raleigh,27612
1979,0.18,247000,3/19/21,21-Mar,2021,1947,1947,1386,One Story,Conventional,2 Bath,ALL,Wendell,27591
1981,0.35,83500,10/30/02,2-Oct,2002,1951,1951,793,One Story,Conventional,1 Bath,ALL,Garner,27529
1982,0.64,850000,5/27/15,15-May,2015,1963,2016,4761,Other,Conventional,3½ Bath,ALL,Raleigh,27609
1983,0.32,285000,11/18/15,15-Nov,2015,1967,2018,1875,One Story,Split level,2½ Bath,ALL,Raleigh,27609
1984,0.68,755000,12/16/11,11-Dec,2011,1958,2013,5112,One Story,Conventional,3½ Bath,ALL,Raleigh,27608
1986,0.68,2400000,5/1/20,20-May,2020,1970,2021,8520,Other,Conventional,3½ Bath,ALL,Raleigh,27609
1988,0.48,125000,9/19/03,3-Sep,2003,1960,1960,1312,One Story,Ranch,1 ½ Bath,ALL,Raleigh,27609
1989,0.17,269000,8/16/02,2-Aug,2002,1939,1939,1528,Two Story,Conventional,2 Bath,ALL,Raleigh,27604
1990,0.33,116000,6/28/96,Jun-96,1996,1962,1962,1331,One Story,Conventional,2 Bath,ALL,Raleigh,27609
1992,0.23,600000,9/29/06,6-Sep,2006,1951,1951,2627,One Story,Conventional,3 Bath,ALL,Raleigh,27608
1993,0.47,62700,8/1/08,8-Aug,2008,1971,1971,1199,One Story,Conventional,1 ½ Bath,E,Apex,27539
1995,0.69,90000,6/20/18,18-Jun,2018,1958,1958,950,One Story,Conventional,1 Bath,ALL,Raleigh,27610
1996,0.21,62500,12/18/07,7-Dec,2007,1959,1959,975,One Story,Conventional,1 Bath,ALL,Raleigh,27610
1998,0.22,58500,4/17/13,13-Apr,2013,1950,1950,740,One Story,Conventional,1 Bath,ALL,Raleigh,27610
2000,1.14,390000,8/12/19,19-Aug,2019,1997,1997,9429,Other,Conventional,3½ Bath,ALL,Raleigh,27608
2002,0.25,61000,9/3/08,8-Sep,2008,1950,1950,744,One Story,Conventional,1 Bath,ALL,Raleigh,27603
2003,0.45,125000,9/14/01,1-Sep,2001,1955,1955,2184,One Story,Ranch,2 Bath,ALL,Raleigh,27603
2004,0.3,45000,10/10/00,Oct-00,2000,1952,1952,744,One Story,Conventional,1 Bath,ALL,Raleigh,27603
2005,0.26,55000,5/28/15,15-May,2015,1930,1930,750,One Story,Conventional,1 Bath,ALL,Raleigh,27603
2006,0.22,192500,6/15/20,20-Jun,2020,1952,1952,1896,One Story,Conventional,2 Bath,ALL,Raleigh,27603
2007,0.24,143000,7/23/19,19-Jul,2019,1956,2019,1371,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27610
2008,0.37,70000,1/1/79,Jan-79,1979,1935,1935,1568,Other,Conventional,1 Bath,ALL,Raleigh,27608
2009,0.26,257500,5/9/03,3-May,2003,1915,1915,3369,One Story,Conventional,3 Bath,ALL,Raleigh,27603
2010,0.33,640000,9/26/18,18-Sep,2018,1997,1997,2868,Other,Conventional,2½ Bath,ALL,Raleigh,27608
2011,0.69,337000,11/26/97,Nov-97,1997,1976,1976,4693,Other,Conventional,3½ Bath,ALL,Raleigh,27612
2012,0.28,433000,7/31/15,15-Jul,2015,1955,1955,2271,Two Story,Conventional,3 Bath,ALL,Raleigh,27607
2013,0.34,87000,10/20/14,14-Oct,2014,1959,1959,1100,One Story,Ranch,1 Bath,WSE,Wendell,27591
2014,0.45,358000,7/2/19,19-Jul,2019,1964,1964,2100,One Story,Split Foyer,2 Bath,ALL,Raleigh,27612
2015,0.29,118500,8/31/94,Aug-94,1994,1968,1968,2048,One Story,Conventional,2 Bath,ALL,Raleigh,27609
2016,0.4,455000,4/15/20,20-Apr,2020,1963,1963,1885,One Story,Split level,2½ Bath,ALL,Raleigh,27609
2017,0.59,342000,2/5/07,7-Feb,2007,1963,1963,2329,One Story,Split level,2½ Bath,ALL,Raleigh,27609
2019,0.28,50000,3/21/89,Mar-89,1989,1940,1940,1008,One Story,Conventional,1 Bath,ALL,Raleigh,27603
2020,0.44,327000,10/30/14,14-Oct,2014,1963,1963,2768,One Story,Ranch,2 Bath,GE,Cary,27511
